X,Y,Z,Type
754612.2395,2312313.161,1321.8,Divide
754238.8835,2312387.506,1296,Divide
749119.9751,2314016.24,1263.7,Divide
749384.1713,2313780.436,1323.8,Divide
749746.619,2313682.184,1396,Divide
747862.3546,2316777.11,902.7,Divide
748206.2352,2316699.592,905.35,Divide
748422.3887,2316415.745,935.81,Divide
748658.1926,2316151.549,972.19,Divide
748850.3631,2315883.02,1004.8,Divide
749149.4506,2315682.108,1070.1,Divide
749454.0305,2315486.688,1121.4,Divide
749719.3099,2315251.967,1155,Divide
749974.764,2315007.421,1221.4,Divide
750230.2182,2314762.875,1306.7,Divide
756262.8664,2309339.464,1059.9,Divide
756028.1457,2309604.743,1111.5,Divide
754111.1564,2305448.7,1089,Divide
753472.521,2317523.822,913.46,Divide
753324.0604,2317288.018,903.34,Divide
753214.9005,2317012.914,928.04,Divide
749277.1777,2316767.285,999.28,Divide
749454.0305,2316444.138,1064.6,Divide
749658.1926,2316167.95,1078.1,Divide
749873.2629,2315883.02,1109.5,Divide
750082.8408,2315592.598,1159,Divide
750210.5679,2315259.626,1227.5,Divide
749345.9538,2309290.338,1371.6,Divide
749737.877,2309221.562,1417.5,Divide
754739.9666,2314232.393,1075.9,Divide
754495.4208,2313976.939,1053.6,Divide
754317.4847,2313654.875,1088.1,Divide
754232.3078,2313240.052,1198.8,Divide
753993.2545,2312979.106,1299.9,Divide
753723.5658,2312748.794,1471,Divide
754759.6169,2306912.649,1276.3,Divide
751654.8664,2306401.741,1144.8,Divide
746113.4761,2311520.649,772,Divide
746456.2736,2311599.251,783.86,Divide
746899.4889,2311562.116,826.74,Divide
747318.7213,2311481.349,935.04,Divide
747759.7704,2311481.349,1040.3,Divide
748181.1691,2311481.349,1039.2,Divide
748592.7427,2311392.922,1093.7,Divide
748952.9474,2311253.127,1249.7,Divide
749347.1137,2311166.943,1350.3,Divide
749778.3375,2311098.167,1495.3,Divide
751792.4186,2317769.451,853.11,Divide
751684.3419,2317416.828,850.21,Divide
751733.4677,2317044.555,909.08,Divide
751821.8941,2316672.283,968.59,Divide
751812.0689,2316260.709,1002.6,Divide
751762.9431,2315908.086,1064.4,Divide
751920.1457,2315565.289,1203.3,Divide
756587.0967,2309919.148,953.63,Divide
756244.2993,2309761.946,1057.3,Divide
749984.5892,2317346.969,968.95,Divide
750081.7576,2316983.438,997.25,Divide
750208.4015,2316629.732,1041.8,Divide
750344.8706,2316266.202,1097.5,Divide
750338.2949,2315916.828,1141.4,Divide
749896.1627,2307600.41,1277.3,Divide
755231.2246,2304328.632,903.66,Divide
754957.2033,2304554.611,910.7,Divide
754739.9666,2304837.374,968.85,Divide
754543.4634,2305140.871,1021.9,Divide
754415.7363,2305513.144,1084.9,Divide
749955.1137,2313446.381,1443.1,Divide
750189.8344,2313181.101,1512.7,Divide
750483.506,2312974.773,1571.7,Divide
750338.2949,2315598.091,1193.9,Divide
750407.0711,2315206.167,1251.7,Divide
755987.7619,2309644.044,1160.8,Divide
755575.1052,2309556.7,1141.3,Divide
755223.5658,2309408.24,1295.9,Divide
754631.8899,2307246.705,1358.5,Divide
749925.6382,2311039.216,1528.4,Divide
750199.6595,2311265.195,1535.7,Divide
751998.747,2315490.014,1270,Divide
752292.4186,2315303.336,1358.3,Divide
753384.0945,2316796.76,962.12,Divide
753277.1009,2316462.705,994.58,Divide
752973.6041,2316266.202,1057.8,Divide
752932.1372,2315866.619,1141.7,Divide
752838.2182,2315519.489,1223.4,Divide
752731.2246,2315146.133,1305.7,Divide
753934.3035,2312552.291,1452,Divide
753601.3312,2312503.165,1510.8,Divide
754307.6596,2305635.378,1115.4,Divide
754396.086,2306046.952,1164.3,Divide
754393.9197,2306411.566,1217,Divide
754445.2118,2306742.372,1228.6,Divide
754303.3269,2307089.502,1339.3,Divide
753501.9965,2312581.767,1575.2,Divide
753100.248,2312562.116,1599.5,Divide
752784.7598,2312416.905,1668,Divide
752473.6041,2312228.061,1681.4,Divide
750524.973,2312896.172,1587.1,Divide
750711.651,2312582.85,1648.1,Divide
750868.8536,2312299.003,1706.7,Divide
752499.8301,2315126.483,1371.2,Divide
752422.312,2314841.553,1343.9,Divide
752372.1031,2314490.014,1364.5,Divide
750377.5956,2315018.406,1322.7,Divide
755123.1479,2309368.939,1341.4,Divide
754760.7001,2309231.387,1299.3,Divide
752381.9282,2314350.295,1380.1,Divide
752205.0753,2314027.148,1382.2,Divide
751890.6702,2313939.805,1438.7,Divide
751664.6915,2313665.784,1395.6,Divide
751428.8877,2313401.587,1411.8,Divide
751428.8877,2313019.489,1452.6,Divide
751638.5423,2312729.144,1566.3,Divide
751902.7384,2312493.34,1694.9,Divide
752186.5849,2312277.187,1726,Divide
750416.8962,2314684.351,1364,Divide
750456.1969,2314282.602,1370.6,Divide
750468.1883,2313908.163,1450.9,Divide
752372.1031,2312169.11,1713.3,Divide
754317.4847,2307305.656,1383.5,Divide
752273.8515,2312178.935,1737.6,Divide
751950.7043,2312021.732,1722.6,Divide
751548.9559,2311962.781,1716.3,Divide
751104.6574,2311926.73,1760.4,Divide
750485.6723,2313534.807,1518.7,Divide
750681.0924,2313249.877,1565.3,Divide
750859.0284,2312947.464,1612.6,Divide
750957.28,2312545.715,1666.1,Divide
751045.7065,2312173.442,1732.6,Divide
754179.9325,2307384.257,1394.1,Divide
751026.0561,2312119.984,1736.9,Divide
751094.8323,2311923.481,1762.8,Divide
750829.5529,2311785.929,1739.2,Divide
750603.5743,2311511.907,1636.2,Divide
757856.7087,2314733.477,231.92,Divide
757533.5615,2314556.624,360.88,Divide
757200.5893,2314428.897,434.47,Divide
756789.0157,2314458.372,492.37,Divide
756377.4421,2314369.946,570.8,Divide
755956.0434,2314369.946,718.69,Divide
755524.8195,2314419.071,833.26,Divide
755172.1969,2314271.694,921.81,Divide
754770.4485,2314212.743,1059.8,Divide
758257.3739,2313048.965,220.93,Divide
757949.4677,2312856.871,316.4,Divide
757687.5146,2312618.824,423.45,Divide
758318.0799,2312562.116,223.91,Divide
758316.3249,2312570.858,226,Divide
757935.3099,2312473.69,367.54,Divide
758368.7001,2310950.79,248.98,Divide
758035.7279,2310783.762,384.72,Divide
757673.2801,2310665.86,462.42,Divide
757373.1095,2310466.031,613.07,Divide
757058.7044,2310280.436,748.35,Divide
756793.4251,2310045.715,898.53,Divide
758070.257,2309830.722,391.37,Divide
757648.8583,2309870.022,541.77,Divide
757217.6344,2309860.197,656.58,Divide
756766.7602,2309889.673,854.38,Divide
757522.6532,2307433.383,502.29,Divide
757111.0797,2307462.858,619.47,Divide
740324.2906,2316918.841,15.967,Relict
740324.2906,2316418.841,20.511,Relict
740324.2906,2315418.841,27.915,Relict
740824.2906,2319918.841,0.978,Relict
740824.2906,2318418.841,23.851,Relict
740824.2906,2317418.841,37.513,Relict
740824.2906,2315918.841,70.471,Relict
740824.2906,2315418.841,61.076,Relict
740824.2906,2313918.841,35.738,Relict
740824.2906,2313418.841,17.343,Relict
741324.2906,2319918.841,31.776,Relict
741324.2906,2318918.841,55.073,Relict
741324.2906,2318418.841,57.709,Relict
741324.2906,2316918.841,71.443,Relict
741324.2906,2316418.841,89.611,Relict
741324.2906,2315918.841,105.74,Relict
741324.2906,2315418.841,113.68,Relict
741324.2906,2313918.841,64.304,Relict
741824.2906,2320918.841,38.22,Relict
741824.2906,2319418.841,81.919,Relict
741824.2906,2318418.841,86.79,Relict
741824.2906,2314918.841,122.1,Relict
741824.2906,2313918.841,103.52,Relict
741824.2906,2313418.841,89.176,Relict
742324.2906,2322918.841,4.754,Relict
742324.2906,2320418.841,80.987,Relict
742324.2906,2319418.841,119.04,Relict
742324.2906,2318918.841,121.48,Relict
742324.2906,2318418.841,115.75,Relict
742324.2906,2317918.841,109.04,Relict
742324.2906,2315918.841,148.74,Relict
742324.2906,2315418.841,155.88,Relict
742824.2906,2324418.841,16.073,Relict
742824.2906,2323918.841,24.511,Relict
742824.2906,2320418.841,112.76,Relict
742824.2906,2318918.841,138.48,Relict
742824.2906,2317918.841,147.07,Relict
742824.2906,2316418.841,160.06,Relict
742824.2906,2315418.841,180.93,Relict
742824.2906,2313918.841,196.92,Relict
742824.2906,2310418.841,55.635,Relict
743324.2906,2323918.841,60.166,Relict
743324.2906,2323418.841,46.308,Relict
743324.2906,2321918.841,109.65,Relict
743324.2906,2321418.841,126.15,Relict
743324.2906,2317418.841,188.17,Relict
743324.2906,2316418.841,209.09,Relict
743324.2906,2313418.841,257.32,Relict
743324.2906,2311418.841,134.06,Relict
743824.2906,2324418.841,14.344,Relict
743824.2906,2323918.841,47.733,Relict
743824.2906,2323418.841,80.756,Relict
743824.2906,2321918.841,122.82,Relict
743824.2906,2319418.841,216.38,Relict
743824.2906,2318918.841,230.89,Relict
743824.2906,2316918.841,239.16,Relict
743824.2906,2314918.841,295.49,Relict
743824.2906,2313918.841,322.56,Relict
743824.2906,2313418.841,312.6,Relict
743824.2906,2310918.841,173.18,Relict
743824.2906,2310418.841,151.26,Relict
743824.2906,2309918.841,127.77,Relict
744324.2906,2322918.841,116.74,Relict
744324.2906,2320418.841,241.95,Relict
744324.2906,2318418.841,267.41,Relict
744324.2906,2316418.841,329.56,Relict
744324.2906,2314918.841,369.84,Relict
744324.2906,2313418.841,389.76,Relict
744324.2906,2312918.841,346.54,Relict
744324.2906,2309918.841,187.39,Relict
744824.2906,2324418.841,48.563,Relict
744824.2906,2323918.841,85.531,Relict
744824.2906,2322918.841,142.56,Relict
744824.2906,2322418.841,196.9,Relict
744824.2906,2317918.841,334.64,Relict
744824.2906,2315418.841,426.63,Relict
744824.2906,2312918.841,458.69,Relict
744824.2906,2311418.841,400.47,Relict
744824.2906,2310418.841,288.4,Relict
745324.2906,2326418.841,30.053,Relict
745324.2906,2315918.841,499.27,Relict
745324.2906,2314418.841,545.2,Relict
745324.2906,2313918.841,539.52,Relict
745324.2906,2310418.841,376.84,Relict
745324.2906,2309918.841,283.61,Relict
745324.2906,2305918.841,25.604,Relict
745824.2906,2326418.841,38.783,Relict
745824.2906,2325918.841,83.925,Relict
745824.2906,2320418.841,391.62,Relict
745824.2906,2317918.841,486.17,Relict
745824.2906,2317418.841,505.24,Relict
745824.2906,2313418.841,638.75,Relict
745824.2906,2309918.841,383.5,Relict
745824.2906,2305918.841,78.536,Relict
746324.2906,2326418.841,49.067,Relict
746324.2906,2325918.841,99.153,Relict
746324.2906,2316918.841,620.16,Relict
746324.2906,2314918.841,734.07,Relict
746324.2906,2313418.841,745.77,Relict
746324.2906,2311418.841,742.98,Relict
746324.2906,2307918.841,286.39,Relict
746824.2906,2326418.841,8.665,Relict
746824.2906,2320918.841,422.88,Relict
746824.2906,2316918.841,692.85,Relict
746824.2906,2311418.841,794.68,Relict
747324.2906,2325918.841,92.106,Relict
747324.2906,2324918.841,156.98,Relict
747324.2906,2324418.841,178.37,Relict
747324.2906,2322918.841,292.88,Relict
747324.2906,2322418.841,337.58,Relict
747324.2906,2321918.841,367.83,Relict
747324.2906,2314918.841,921.53,Relict
747324.2906,2314418.841,925.63,Relict
747324.2906,2305918.841,244.15,Relict
747824.2906,2323918.841,249.19,Relict
747824.2906,2314918.841,1002.7,Relict
748324.2906,2322918.841,319.38,Relict
748324.2906,2320918.841,521.4,Relict
748324.2906,2304918.841,256.85,Relict
748824.2906,2326418.841,93.798,Relict
748824.2906,2321918.841,393.57,Relict
748824.2906,2320918.841,524.91,Relict
748824.2906,2319918.841,662.49,Relict
748824.2906,2318918.841,733.95,Relict
749324.2906,2327418.841,49.695,Relict
749324.2906,2326418.841,122.05,Relict
749324.2906,2324918.841,194.04,Relict
749324.2906,2319418.841,748.99,Relict
749324.2906,2316918.841,957.14,Relict
749824.2906,2326918.841,102.14,Relict
749824.2906,2325418.841,167,Relict
749824.2906,2315918.841,1098,Relict
749824.2906,2315418.841,1162.4,Relict
749824.2906,2311918.841,1525.4,Relict
750324.2906,2326918.841,59.63,Relict
750324.2906,2324418.841,233.08,Relict
750324.2906,2322418.841,378.58,Relict
750324.2906,2315918.841,1142.1,Relict
750324.2906,2314918.841,1301.4,Relict
750824.2906,2322918.841,385.25,Relict
750824.2906,2312418.841,1677.4,Relict
751324.2906,2325918.841,75.129,Relict
751324.2906,2320918.841,568.93,Relict
751824.2906,2323918.841,281.15,Relict
751824.2906,2323418.841,319.61,Relict
751824.2906,2322918.841,357.9,Relict
751824.2906,2321918.841,502.59,Relict
751824.2906,2321418.841,526.08,Relict
751824.2906,2317918.841,835.59,Relict
752324.2906,2324918.841,136.74,Relict
752324.2906,2320918.841,569.08,Relict
752324.2906,2320418.841,621.13,Relict
752824.2906,2321918.841,443.37,Relict
752824.2906,2320418.841,547.18,Relict
753324.2906,2323918.841,203.76,Relict
753324.2906,2317418.841,904.11,Relict
753324.2906,2316918.841,952.42,Relict
753324.2906,2304418.841,940.99,Relict
753324.2906,2303918.841,853.95,Relict
753824.2906,2304918.841,1048.1,Relict
754324.2906,2323418.841,128.63,Relict
754324.2906,2305418.841,1081.1,Relict
754324.2906,2303918.841,862.5,Relict
754324.2906,2302418.841,523.11,Relict
754324.2906,2301918.841,413.57,Relict
754324.2906,2301418.841,285.18,Relict
754824.2906,2321918.841,343.97,Relict
754824.2906,2319418.841,537.15,Relict
754824.2906,2306918.841,1265,Relict
754824.2906,2303418.841,769.18,Relict
754824.2906,2302918.841,681.08,Relict
754824.2906,2300418.841,73.108,Relict
755324.2906,2322918.841,175.81,Relict
755324.2906,2320418.841,449.24,Relict
755324.2906,2315418.841,888.07,Relict
755324.2906,2302918.841,697.12,Relict
755324.2906,2302418.841,623.68,Relict
755324.2906,2301418.841,401.76,Relict
755824.2906,2320918.841,311.89,Relict
755824.2906,2320418.841,365.54,Relict
755824.2906,2318418.841,492.26,Relict
755824.2906,2301418.841,409.99,Relict
756324.2906,2321418.841,271.76,Relict
756324.2906,2320418.841,281.74,Relict
756324.2906,2318418.841,429.54,Relict
756324.2906,2302918.841,594.07,Relict
756324.2906,2302418.841,549.05,Relict
756324.2906,2301418.841,421.72,Relict
756324.2906,2300918.841,346.67,Relict
756824.2906,2321418.841,198.03,Relict
756824.2906,2318418.841,302.41,Relict
756824.2906,2303918.841,568.18,Relict
756824.2906,2300918.841,306.64,Relict
757324.2906,2319418.841,220.47,Relict
757324.2906,2318918.841,228.55,Relict
757324.2906,2301418.841,290.49,Relict
757324.2906,2299918.841,99.224,Relict
757824.2906,2318418.841,122.81,Relict
757824.2906,2317418.841,115.52,Relict
757824.2906,2314418.841,285.18,Relict
758324.2906,2313918.841,148.25,Relict
758324.2906,2301418.841,100.83,Relict
750621.0583,2309811.071,1565.9,Divide
750692.0007,2309899.498,1587.9,Divide
750780.4271,2310291.421,1537.2,Divide
750782.5935,2310656.035,1474.5,Divide
750646.1244,2311019.566,1545.6,Divide
750789.0924,2309830.722,1383.9,Divide
750033.715,2309294.747,1385.8,Divide
750023.8898,2309329.639,1412.5,Divide
750063.1905,2309368.939,1413.2,Divide
750327.3866,2309604.743,1413.2,Divide
