X,Y,Z,Type
749656.0263,2311874.355,1490.9,Divide
750067.5998,2311903.83,1583.7,Divide
750459.5231,2311795.754,1668.4,Divide
754504.1628,2302098.321,482.91,Divide
754768.3589,2302334.125,558.22,Divide
754985.5956,2302616.888,638.29,Divide
755129.7235,2302953.11,685.97,Divide
746161.5188,2308386.423,299.62,Divide
746484.6659,2308563.276,420.15,Divide
746860.1883,2308687.754,566.42,Divide
747180.0859,2308867.856,675.73,Divide
747552.3589,2308975.933,840.02,Divide
747914.8066,2309113.485,966.54,Divide
748346.0305,2309182.261,1077.1,Divide
748728.1286,2309300.163,1235,Divide
749120.0518,2309388.59,1343.6,Divide
743116.8023,2321650.389,100.87,Divide
743390.8237,2321424.411,130.64,Divide
743664.845,2321296.683,157.77,Divide
743978.1669,2321110.005,188.09,Divide
744320.9644,2320952.803,216.54,Divide
744614.636,2320766.125,253.69,Divide
744947.6083,2320677.698,282.37,Divide
745280.5806,2320510.671,317.75,Divide
745564.4271,2320294.517,351.19,Divide
745907.2245,2320235.566,394.32,Divide
746269.6723,2320156.965,424.48,Divide
746553.5187,2319940.811,465.4,Divide
746837.3652,2319724.658,517.07,Divide
743115.7192,2312670.193,181.76,Divide
743487.9921,2312778.27,240.47,Divide
743860.265,2312905.997,277.38,Divide
744134.2863,2313131.975,331.79,Divide
744545.8599,2313200.752,426.55,Divide
744977.0838,2313171.276,495.98,Divide
745388.6573,2313161.451,563.54,Divide
745751.1051,2313181.101,615.51,Divide
746201.9793,2313230.227,703.07,Divide
746544.7767,2313387.43,788.33,Divide
743824.2139,2323251.89,99.001,Divide
743971.5913,2322977.869,101.69,Divide
744217.2203,2322743.148,126.57,Divide
744548.0262,2322573.954,174.07,Divide
744875.506,2322401.434,200,Divide
745027.2927,2322072.871,246.02,Divide
745183.4121,2321768.291,271.02,Divide
745447.6083,2321532.487,290.48,Divide
745751.1051,2321335.984,331.09,Divide
745985.8258,2321070.705,364.72,Divide
746172.4271,2320757.306,382.79,Divide
746418.0561,2320502.935,433.8,Divide
746771.7619,2320356.641,453.63,Divide
747013.1349,2320117.664,511.31,Divide
747159.4292,2319763.958,554.39,Divide
743755.4377,2313446.381,305.19,Divide
744088.41,2313593.758,361.93,Divide
744480.3333,2313662.534,422.15,Divide
744901.732,2313662.534,479.38,Divide
745274.0049,2313593.758,544.81,Divide
745695.4036,2313534.807,621.27,Divide
746087.3268,2313446.381,704.25,Divide
746528.3759,2313426.73,787.39,Divide
757825.0669,2304312.231,318.64,Divide
757544.4699,2304092.828,438.5,Divide
757123.0711,2304073.178,527.97,Divide
756704.9986,2304109.152,637.58,Divide
756370.9432,2304242.449,685.18,Divide
756045.553,2304417.059,756.78,Divide
755791.2587,2304662.764,811.1,Divide
755791.2587,2305064.513,880.53,Divide
755702.8323,2305476.086,960.51,Divide
