IX,width_m,length_m
4,473.361,9381.978
4,581.837,9381.978
4,571.976,9381.978
5,802.097,11056.898
5,731.026,11056.898
5,720.87,11056.898
5,741.177,11056.898
5,751.33,11056.898
5,751.331,11056.898
5,1342.19,11056.898
5,1315.347,11056.898
5,1261.66,11056.898
5,1258.534,11056.898
5,1343.838,11056.898
5,1328.767,11056.898
5,1342.189,11056.898
5,1328.768,11056.898
5,1409.296,11056.898
5,1368.993,11056.898
5,1281.02,11056.898
5,1301.922,11056.898
5,1460.661,11056.898
5,1449.559,11056.898
5,1469.864,11056.898
5,1437.988,11056.898
5,599.026,11056.898
5,639.638,11056.898
5,670.098,11056.898
5,748.454,11056.898
5,741.166,11056.898
5,629.484,11056.898
5,599.025,11056.898
5,578.72,11056.898
5,822.388,11056.898
5,761.471,11056.898
5,771.624,11056.898
5,771.625,11056.898
5,1239.303,11056.898
5,1129.356,11056.898
5,1101.859,11056.898
5,969.096,11056.898
5,738.194,11056.898
5,794.869,11056.898
5,879.028,11056.898
5,994.31,11056.898
5,429.869,11056.898
5,467.493,11056.898
5,510.025,11056.898
5,607.476,11056.898
5,340.966,11056.898
5,344.052,11056.898
5,322.121,11056.898
5,370.664,11056.898
5,295.277,11056.898
5,361.984,11056.898
5,288.931,11056.898
5,1475.532,11056.898
5,1450.71,11056.898
5,1458.526,11056.898
5,1469.861,11056.898
5,1292.612,11056.898
5,1342.439,11056.898
5,1355.601,11056.898
5,1440.115,11056.898
5,1314.404,11056.898
5,1292.252,11056.898
5,1261.646,11056.898
5,1273.583,11056.898
5,1154.269,11056.898
5,1264.808,11056.898
5,1328.056,11056.898
5,1342.175,11056.898
5,622.817,11056.898
5,579.535,11056.898
5,456.897,11056.898
5,264.06,11056.898
5,771.646,11056.898
5,700.574,11056.898
5,710.728,11056.898
5,710.728,11056.898
5,903.636,11056.898
5,954.403,11056.898
5,934.097,11056.898
5,903.638,11056.898
5,829.369,11056.898
5,873.175,11056.898
5,876.244,11056.898
5,831.441,11056.898
5,842.705,11056.898
5,802.093,11056.898
5,785.031,11056.898
5,720.87,11056.898
5,903.621,11056.898
5,872.264,11056.898
5,873.163,11056.898
5,863.011,11056.898
5,923.926,11056.898
5,934.079,11056.898
5,974.692,11056.898
5,934.08,11056.898
5,816.855,11056.898
5,852.853,11056.898
5,903.618,11056.898
5,903.619,11056.898
5,863.019,11056.898
5,873.173,11056.898
5,893.48,11056.898
5,852.868,11056.898
5,751.333,11056.898
5,781.793,11056.898
5,822.406,11056.898
5,893.478,11056.898
5,751.331,11056.898
5,791.944,11056.898
6,730.527,10021.532
6,709.702,10021.532
6,732.669,10021.532
6,763.653,10021.532
6,719.111,10021.532
6,744.3,10021.532
6,886.76,10021.532
6,990.86,10021.532
6,1027.283,10021.532
6,967.955,10021.532
6,768.718,10021.532
6,776.167,10021.532
6,833.239,10021.532
6,848.205,10021.532
6,567.428,10021.532
6,527.551,10021.532
6,633.061,10021.532
6,705.419,10021.532
6,624.281,10021.532
6,590.165,10021.532
6,556.757,10021.532
6,572.769,10021.532
6,1209.919,10021.532
6,1150.717,10021.532
6,1042.168,10021.532
6,1050.121,10021.532
6,1237.73,10021.532
6,1335.475,10021.532
6,1324.061,10021.532
6,1209.919,10021.532
6,1072.943,10021.532
6,1141.226,10021.532
6,1107.187,10021.532
6,1180.568,10021.532
6,911.886,10021.532
6,867.737,10021.532
6,864.683,10021.532
6,950.658,10021.532
6,710.862,10021.532
6,757.927,10021.532
6,794.498,10021.532
6,893.394,10021.532
6,572.762,10021.532
6,605.064,10021.532
6,642.628,10021.532
6,699.176,10021.532
6,492.012,10021.532
6,504.419,10021.532
6,539.291,10021.532
6,566.172,10021.532
6,346.202,10021.532
6,352.298,10021.532
6,375.482,10021.532
6,867.503,10021.532
